,mech,stmts,count,lines
0,async-await,0,3,0
1,async-await,1,24,51
2,async-await,2,16,64
3,async-await,3,4,19
4,async-await,4,2,8
5,callback,0,554,0
6,callback,1,19541,116752
7,callback,2,15970,149705
8,callback,3,9541,104576
9,callback,4,5032,67761
10,callback,5,2735,44871
11,callback,6,1954,44747
12,callback,7,1194,26102
13,callback,8,791,30872
14,callback,9,631,20990
15,callback,10,465,17580
16,callback,11,446,17593
17,callback,12,273,14880
18,callback,13,241,16110
19,callback,14,262,16471
20,callback,15,163,11769
21,callback,16,158,13875
22,callback,17,119,13793
23,callback,18,105,9945
24,callback,19,96,11872
25,callback,20,85,11247
26,callback,21,97,16294
27,callback,22,63,9417
28,callback,23,69,13282
29,callback,24,46,5656
30,callback,25,50,7057
31,callback,26,44,6494
32,callback,27,58,13661
33,callback,28,39,9686
34,callback,29,44,6243
35,callback,30,51,7217
36,callback,31,29,9031
37,callback,32,41,14813
38,callback,33,53,6561
39,callback,34,27,4453
40,callback,35,21,2512
41,callback,36,39,4650
42,callback,37,21,3913
43,callback,38,32,6614
44,callback,39,29,3623
45,callback,40,34,6405
46,callback,41,17,2647
47,callback,42,10,5313
48,callback,43,15,4416
49,callback,44,15,2419
50,callback,45,21,7466
51,callback,46,13,4630
52,callback,47,12,3439
53,callback,48,8,2483
54,callback,49,11,4423
55,callback,50,2,431
56,callback,51,10,2902
57,callback,52,12,4111
58,callback,53,10,1392
59,callback,54,10,2202
60,callback,55,12,1431
61,callback,56,24,4336
62,callback,57,6,3510
63,callback,58,1,60
64,callback,59,4,1011
65,callback,60,8,2306
66,callback,61,8,1707
67,callback,62,6,1597
68,callback,63,4,2635
69,callback,64,7,2849
70,callback,65,6,1768
71,callback,66,4,3545
72,callback,67,6,1365
73,callback,68,12,1508
74,callback,69,6,3055
75,callback,70,2,851
76,callback,71,4,1571
77,callback,72,3,312
78,callback,73,3,1825
79,callback,74,2,279
80,callback,75,4,619
81,callback,76,3,1451
82,callback,77,4,688
83,callback,78,2,161
84,callback,79,5,2000
85,callback,80,2,1976
86,callback,81,1,439
87,callback,82,7,5776
88,callback,83,1,577
89,callback,84,6,1130
90,callback,86,4,591
91,callback,87,5,2623
92,callback,89,2,437
93,callback,91,5,2158
94,callback,92,1,92
95,callback,94,3,3425
96,callback,95,1,2177
97,callback,96,2,3424
98,callback,97,2,1174
99,callback,98,2,1502
100,callback,99,7,2643
101,callback,100,1,164
102,callback,101,2,384
103,callback,102,2,769
104,callback,103,1,3425
105,callback,104,2,3236
106,callback,106,1,528
107,callback,107,1,112
108,callback,109,2,7696
109,callback,110,1,305
110,callback,111,2,439
111,callback,112,4,3320
112,callback,114,1,175
113,callback,115,7,4792
114,callback,118,2,346
115,callback,120,2,328
116,callback,122,2,1619
117,callback,123,1,328
118,callback,126,1,131
119,callback,129,1,132
120,callback,132,2,456
121,callback,135,2,3483
122,callback,136,1,819
123,callback,137,1,414
124,callback,138,1,1090
125,callback,140,4,560
126,callback,145,2,2595
127,callback,146,1,3382
128,callback,147,1,245
129,callback,150,1,166
130,callback,153,1,156
131,callback,154,2,9486
132,callback,155,1,590
133,callback,157,1,238
134,callback,164,2,584
135,callback,189,2,378
136,callback,192,1,6530
137,callback,193,1,449
138,callback,211,2,606
139,callback,213,1,1035
140,callback,214,1,756
141,callback,220,1,965
142,callback,224,1,558
143,callback,328,1,3245
144,callback,342,1,743
145,callback,380,1,3197
146,event,0,92,0
147,event,1,618,875
148,event,2,302,876
149,event,3,112,475
150,event,4,57,356
151,event,5,20,128
152,event,6,13,104
153,event,7,3,27
154,event,8,1,33
155,event,9,3,27
156,event,10,3,36
157,event,11,3,33
158,event,12,2,24
159,event,13,1,27
160,promise,0,144,0
161,promise,1,1007,1530
162,promise,2,515,1655
163,promise,3,187,843
164,promise,4,71,345
165,promise,5,26,168
166,promise,6,13,163
167,promise,7,2,14
168,promise,8,3,49
169,promise,11,1,11
170,promise,12,1,12
171,promise,15,1,15
172,try-catch,0,8421,0
173,try-catch,1,22509,46043
174,try-catch,2,5161,16527
175,try-catch,3,911,4508
176,try-catch,4,211,1592
177,try-catch,5,142,1691
178,try-catch,6,131,2582
179,try-catch,7,30,311
180,try-catch,8,3,60
181,try-catch,9,2,26
182,try-catch,10,2,20
183,try-catch,11,2,22
184,try-catch,20,3,171
