,strategy,perc
0,empty,8.222066057624737
1,noUsageOfErrorArg,10.468884203950966
2,consoleLog,0.3445381432029359
3,reassigningError,3.471734207855079
4,alert,0.006832201140001562
5,throwLiteral,0.015616459748574998
6,throwUndefined,0.0
7,throwNull,0.0
8,throwErrorObject,0.23327086749433903
9,rethrow,0.2625517295229171
10,returnLiteral,2.7075037089091905
11,returnUndefined,0.030256890762864055
12,returnNull,0.4919184820801124
13,returnErrorObject,0.005856172405715624
14,rereturn,0.0
15,continue,0.015616459748574998
16,break,0.006832201140001562
17,others,73.716522214414
