,repo,type,eventsNumberOfEventUncaughtException,numberOfWindowOnError,numberOfWindowAddEventListener
0,Chart.js.csv,client,0,0,0
1,JavaScript-Garden.csv,client,0,0,0
2,JavaScript-Load-Image.csv,client,1,0,0
3,Modernizr.csv,client,0,0,0
4,PhotoSwipe.csv,client,0,0,0
5,Rocket.Chat.csv,client,2,0,0
6,Semantic-UI.csv,client,0,0,0
7,Smart-Table.csv,client,0,0,0
8,ajenti.csv,client,0,0,0
9,angular-starter.csv,client,0,0,0
10,angular-translate.csv,client,0,0,0
11,babel.csv,client,0,0,0
12,bootstrap.csv,client,0,0,0
13,card.csv,client,0,0,0
14,clumsy-bird.csv,client,0,0,0
15,create-react-app.csv,client,0,0,0
16,d3.csv,client,0,0,0
17,democracyos.csv,client,0,0,0
18,dragula.csv,client,0,0,0
19,dropzone.csv,client,0,0,0
20,echarts.csv,client,0,0,0
21,engine.csv,client,0,0,0
22,eslint-plugin-react.csv,client,0,0,0
23,fetch.csv,client,0,0,0
24,fingerprintjs2.csv,client,0,0,0
25,foundation-sites.csv,client,0,0,0
26,framework.csv,client,0,0,0
27,fullPage.js.csv,client,0,0,0
28,highcharts-ng.csv,client,0,0,0
29,hospitalrun-frontend.csv,client,1,0,0
30,howler.js.csv,client,0,0,0
31,html2canvas.csv,client,0,0,0
32,impress.js.csv,client,0,0,0
33,intro.js.csv,client,0,0,0
34,jQuery-File-Upload.csv,client,0,0,0
35,joi.csv,client,0,0,0
36,jquery-modal.csv,client,0,0,0
37,js-sequence-diagrams.csv,client,0,0,0
38,jsdoc.csv,client,0,0,0
39,lazysizes.csv,client,0,0,0
40,lightbox.csv,client,0,0,0
41,list.js.csv,client,0,0,0
42,mapbox-gl-js.csv,client,0,0,0
43,materialize.csv,client,0,0,0
44,mithril.js.csv,client,6,0,0
45,mojs.csv,client,0,0,0
46,notifyjs.csv,client,0,0,0
47,perfect-scrollbar.csv,client,0,0,0
48,phaser.csv,client,0,0,0
49,plyr.csv,client,0,0,0
50,prettier.csv,client,0,0,0
51,progressbar.js.csv,client,0,0,0
52,ratchet.csv,client,0,0,0
53,remark.csv,client,0,0,0
54,riot.csv,client,0,0,0
55,scrollreveal.csv,client,0,0,0
56,simditor.csv,client,0,0,0
57,sinon.csv,client,0,0,0
58,smooth-scroll.csv,client,0,0,0
59,sockjs-client.csv,client,0,0,0
60,summernote.csv,client,0,0,0
61,svg.js.csv,client,2,0,0
62,textillate.csv,client,0,0,0
63,three.js.csv,client,2,0,0
64,timesheet.js.csv,client,0,0,0
65,tinymce.csv,client,0,0,0
66,ui-router.csv,client,0,0,0
67,validator.js.csv,client,0,0,0
68,web3.js.csv,client,0,0,0
69,webogram.csv,client,0,0,0
70,zeroclipboard.csv,client,0,0,0
71,Faker.js.csv,server,0,0,0
72,Ghost.csv,server,0,0,0
73,MQTT.js.csv,server,0,0,0
74,PapaParse.csv,server,0,0,0
75,RxJS.csv,server,0,0,0
76,art-template.csv,server,0,0,0
77,aws-sdk-js.csv,server,0,0,0
78,axios.csv,server,0,0,0
79,bitcoinjs-lib.csv,server,0,0,0
80,cheerio.csv,server,0,0,0
81,closure-compiler.csv,server,0,0,0
82,co.csv,server,0,0,0
83,docco.csv,server,0,0,0
84,docsify.csv,server,0,0,0
85,drywall.csv,server,0,0,0
86,eslint.csv,server,0,0,0
87,express.csv,server,0,0,0
88,expressjs.com.csv,server,0,0,0
89,flowchart.js.csv,server,0,0,0
90,forever.csv,server,0,0,0
91,gulp.csv,server,0,0,0
92,handlebars.js.csv,server,0,0,0
93,hapi.csv,server,0,0,0
94,hexo.csv,server,0,0,0
95,homebridge.csv,server,0,0,0
96,http-server.csv,server,0,0,0
97,iD.csv,server,0,0,0
98,immutable-js.csv,server,0,0,0
99,javascript-state-machine.csv,server,0,0,0
100,javascripting.csv,server,0,0,0
101,johnny-five.csv,server,0,0,0
102,jsdoc.csv,server,0,0,0
103,jsdom.csv,server,0,0,1
104,json-server.csv,server,0,0,0
105,keystone.csv,server,0,0,0
106,koa.csv,server,0,0,0
107,kue.csv,server,0,0,0
108,locutus.csv,server,0,0,0
109,lodash.csv,server,0,0,0
110,loopback.csv,server,0,0,0
111,materialize.csv,server,0,0,0
112,mathjs.csv,server,0,0,0
113,metalsmith.csv,server,0,0,0
114,meteor.csv,server,0,2,0
115,mobx.csv,server,0,0,0
116,moment-timezone.csv,server,0,0,0
117,moment.csv,server,0,0,0
118,mongo-express.csv,server,0,0,0
119,natural.csv,server,0,0,0
120,next.js.csv,server,0,0,0
121,node-http-proxy.csv,server,0,0,0
122,node-inspector.csv,server,0,0,0
123,node-opencv.csv,server,0,0,0
124,node-serialport.csv,server,0,0,0
125,nodemailer.csv,server,0,0,0
126,nodemon.csv,server,0,0,0
127,nuxt.js.csv,server,0,0,0
128,openlayers.csv,server,0,0,0
129,parse-server.csv,server,0,0,0
130,passport.csv,server,0,0,0
131,peerflix.csv,server,0,0,0
132,postcss.csv,server,0,0,0
133,pouchdb.csv,server,0,0,0
134,protobuf.js.csv,server,0,0,0
135,pug.csv,server,0,0,0
136,react-native.csv,server,0,0,2
137,reactGo.csv,server,0,0,0
138,request.csv,server,0,0,0
139,sails.csv,server,0,0,0
140,session.csv,server,0,0,0
141,showdown.csv,server,0,0,0
142,sinon.csv,server,0,0,0
143,socket.io.csv,server,0,0,0
144,sockjs-node.csv,server,0,0,0
145,spectron.csv,server,0,0,0
146,standard.csv,server,0,0,0
147,store.js.csv,server,0,0,0
148,superagent.csv,server,0,0,0
149,svgo.csv,server,0,0,0
150,waterline.csv,server,0,0,0
151,webtorrent.csv,server,0,0,0
152,wekan.csv,server,0,0,0
153,yarn.csv,server,0,0,0
